,CUSTNO,avg_grade,가공_avg,가구/인테_avg,일상_avg,스포츠_avg,패션잡화_avg,교육/문화_avg,기타_avg,가전_avg,의류_avg,신선_avg,의약품_avg,사치품_avg,food_grade,fun_grade,etc_grade,fresh_grade,fashion_grade,necce_grade,sport_grade,stuff_grade,digital_grade,edu_grade,high_grade,medi_grade,fre_grade,GENDER,AGE,target_grade,R_grade
0,1,6.0,2.0,4.0,3.333333333333333,2.6666666666666665,2.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,3.0,3.0,0.0,2.6666666666666665,3.0,6.0,6.0,3.0,6.0,3.0,2.0,6.0,6.0,0.0,5.0,0.0,6.0,0,6,0.0,4.0
1,2,2.0,2.0,3.333333333333333,3.0,5.0,1.0,0.0,0.0,4.0,3.0,3.0,0.0,2.6666666666666665,3.0,6.0,0.0,3.0,6.0,3.0,3.0,5.0,3.0,0.0,5.0,0.0,3.0,0,6,1.0,4.0
2,3,1.0,1.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0,6,0.0,4.0
3,4,2.0,2.0,2.333333333333333,2.0,3.6666666666666665,1.3333333333333333,0.3333333333333333,0.0,0.0,3.0,2.6666666666666665,0.6666666666666666,0.0,5.0,5.0,0.0,2.0,2.0,5.0,3.0,2.0,0.0,4.0,0.0,0.0,2.0,1,6,0.0,5.0
4,5,1.0,2.0,2.0,3.333333333333333,2.0,1.3333333333333333,0.0,0.0,1.3333333333333333,3.333333333333333,3.0,0.0,1.3333333333333333,6.0,5.0,0.0,2.0,5.0,6.0,5.0,2.0,2.0,0.0,1.0,0.0,2.0,0,6,0.0,1.0
5,6,2.0,1.0,4.0,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,0.6666666666666666,0.0,3.333333333333333,2.0,0.0,4.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,2.0,0.0,2.0,4.0,0.0,6.0,1,6,1.0,5.0
6,7,6.0,2.0,3.6666666666666665,1.3333333333333333,3.6666666666666665,1.6666666666666667,1.0,0.0,1.3333333333333333,3.0,2.6666666666666665,0.6666666666666666,1.3333333333333333,3.0,6.0,0.0,5.0,3.0,2.0,3.0,5.0,4.0,2.0,6.0,0.0,2.0,1,6,1.0,4.0
7,8,3.0,2.0,1.3333333333333333,4.0,3.0,1.0,0.3333333333333333,0.0,4.0,3.0,3.0,0.0,1.3333333333333333,6.0,0.0,0.0,6.0,2.0,6.0,5.0,2.0,6.0,5.0,0.0,0.0,2.0,0,6,1.0,4.0
8,9,3.0,2.0,1.3333333333333333,3.333333333333333,3.0,2.0,0.0,0.0,4.0,3.6666666666666665,3.0,0.0,3.0,6.0,0.0,0.0,3.0,3.0,6.0,3.0,5.0,3.0,0.0,5.0,0.0,5.0,1,6,1.0,4.0
9,10,1.0,1.0,1.6666666666666667,1.0,2.0,1.6666666666666667,1.0,0.0,0.6666666666666666,3.0,1.3333333333333333,1.0,1.3333333333333333,1.0,4.0,0.0,4.0,2.0,5.0,2.0,1.0,0.0,2.0,2.0,5.0,6.0,1,6,0.0,4.0
