,CUSTNO,GENDER,AGE,가공_avg,가구/인테_avg,일상_avg,스포츠_avg,패션잡화_avg,교육/문화_avg,기타_avg,가전_avg,의류_avg,신선_avg,의약품_avg,사치품_avg,avg_grade,food_grade,fun_grade,etc_grade,fresh_grade,fashion_grade,necce_grade,sport_grade,stuff_grade,digital_grade,edu_grade,high_grade,medi_grade,fre_grade,R_grade,target_grade
0,1,0.0,6.0,4.0,8.0,7.0,5.0,3.0,0.0,3.0,5.0,5.0,7.0,0.0,4.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,2.0,3.0,6.0,4.0,5.0,0.0,6.0,4.0,0.0
1,2,0.0,6.0,4.0,7.0,7.0,9.0,1.0,0.0,0.0,8.0,5.0,7.0,0.0,4.0,6.0,3.0,3.0,0.0,6.0,6.0,3.0,3.0,2.0,6.0,0.0,5.0,0.0,3.0,4.0,0.0
2,3,0.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0
3,4,1.0,6.0,4.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,2.0,5.0,5.0,0.0,5.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,5.0,2.0,5.0,0.0
4,5,0.0,6.0,4.0,4.0,7.0,3.0,2.0,0.0,0.0,3.0,6.0,7.0,0.0,2.0,5.0,6.0,2.0,0.0,5.0,6.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0
5,6,1.0,6.0,1.0,8.0,2.0,1.0,3.0,0.0,1.0,0.0,6.0,4.0,0.0,6.0,2.0,2.0,6.0,1.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,5.0,0.0,6.0,5.0,1.0
6,7,1.0,6.0,4.0,8.0,2.0,6.0,2.0,1.0,0.0,3.0,5.0,6.0,1.0,2.0,6.0,3.0,6.0,0.0,6.0,6.0,6.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,4.0,1.0
7,8,0.0,6.0,4.0,3.0,8.0,5.0,1.0,0.0,0.0,8.0,5.0,7.0,0.0,2.0,3.0,3.0,5.0,0.0,6.0,2.0,3.0,5.0,5.0,6.0,2.0,4.0,0.0,6.0,4.0,1.0
8,9,1.0,6.0,4.0,3.0,7.0,5.0,3.0,0.0,0.0,8.0,6.0,7.0,0.0,5.0,3.0,6.0,6.0,0.0,3.0,3.0,6.0,3.0,6.0,3.0,0.0,5.0,0.0,5.0,4.0,0.0
9,10,1.0,6.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,0.0,1.0,5.0,1.0,2.0,5.0,4.0,2.0,2.0,5.0,6.0,4.0,0.0
10,11,0.0,6.0,4.0,5.0,8.0,3.0,5.0,3.0,5.0,5.0,5.0,7.0,0.0,8.0,3.0,6.0,3.0,3.0,3.0,3.0,6.0,5.0,6.0,3.0,5.0,6.0,0.0,2.0,5.0,0.0
11,12,0.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0
12,13,1.0,6.0,1.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,2.0,5.0,0.0,2.0,1.0,5.0,2.0,2.0,5.0,0.0,2.0,4.0,2.0,6.0,4.0,1.0
13,14,1.0,6.0,1.0,3.0,3.0,9.0,1.0,1.0,5.0,5.0,5.0,7.0,0.0,4.0,5.0,6.0,5.0,6.0,3.0,6.0,2.0,2.0,5.0,6.0,2.0,5.0,0.0,3.0,5.0,0.0
14,15,1.0,6.0,2.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,6.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,6.0,2.0,2.0,5.0,0.0,4.0,0.0,2.0,6.0,5.0,0.0
15,16,1.0,6.0,4.0,0.0,5.0,3.0,1.0,2.0,0.0,3.0,3.0,7.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,4.0,5.0,1.0,1.0,5.0,5.0,4.0,0.0,4.0,5.0,1.0
16,17,0.0,6.0,3.0,4.0,6.0,0.0,5.0,0.0,1.0,5.0,5.0,6.0,0.0,6.0,3.0,6.0,5.0,2.0,3.0,3.0,3.0,0.0,3.0,5.0,4.0,3.0,0.0,1.0,5.0,0.0
17,18,1.0,6.0,4.0,3.0,6.0,6.0,4.0,2.0,2.0,3.0,8.0,7.0,0.0,2.0,2.0,6.0,3.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,0.0,2.0,5.0,0.0
18,19,1.0,6.0,4.0,1.0,5.0,9.0,2.0,0.0,0.0,0.0,8.0,7.0,0.0,4.0,3.0,3.0,4.0,0.0,3.0,6.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0
